order_id,order_date,payment_id,payment_date,payment_method,payment_status,failure_reason
1,2024-06-17,1,2024-06-17 00:06:00,UPI,Success,
2,2024-06-20,2,2024-06-20 00:01:00,UPI,Failed,Insufficient Balance
3,2024-01-04,3,2024-01-04 00:08:00,UPI,Success,
4,2024-05-14,4,2024-05-14 00:01:00,UPI,Success,
5,2024-02-15,5,2024-02-15 00:09:00,Wallet,Success,
6,2024-01-09,6,2024-01-09 00:04:00,UPI,Success,
7,2024-06-09,7,2024-06-09 00:07:00,UPI,Success,
8,2024-02-02,8,2024-02-02 00:08:00,UPI,Success,
9,2024-03-24,9,2024-03-24 00:07:00,UPI,Success,
10,2024-05-11,10,2024-05-11 00:07:00,UPI,Success,
11,2024-03-05,11,2024-03-05 00:06:00,Credit Card,Success,
12,2024-04-15,12,2024-04-15 00:08:00,Debit Card,Success,
13,2024-02-03,13,2024-02-03 00:06:00,UPI,Success,
14,2024-03-25,14,2024-03-25 00:09:00,UPI,Success,
15,2024-03-28,15,2024-03-28 00:01:00,UPI,Success,
16,2024-06-01,16,2024-06-01 00:05:00,UPI,Failed,Timeout
17,2024-02-24,17,2024-02-24 00:09:00,UPI,Success,
18,2024-05-16,18,2024-05-16 00:05:00,UPI,Success,
19,2024-01-17,19,2024-01-17 00:07:00,UPI,Success,
20,2024-05-28,20,2024-05-28 00:07:00,UPI,Success,
21,2024-05-20,21,2024-05-20 00:04:00,UPI,Success,
22,2024-05-10,22,2024-05-10 00:03:00,Credit Card,Failed,Timeout
23,2024-01-04,23,2024-01-04 00:09:00,UPI,Success,
24,2024-01-07,24,2024-01-07 00:05:00,UPI,Success,
25,2024-01-26,25,2024-01-26 00:05:00,UPI,Success,
26,2024-01-24,26,2024-01-24 00:05:00,Wallet,Success,
27,2024-01-10,27,2024-01-10 00:01:00,UPI,Success,
28,2024-01-13,28,2024-01-13 00:08:00,UPI,Success,
29,2024-05-04,29,2024-05-04 00:07:00,Credit Card,Success,
30,2024-06-20,30,2024-06-20 00:02:00,Credit Card,Success,
31,2024-02-08,31,2024-02-08 00:05:00,UPI,Success,
32,2024-05-26,32,2024-05-26 00:02:00,UPI,Failed,Timeout
33,2024-06-27,33,2024-06-27 00:03:00,UPI,Success,
34,2024-01-19,34,2024-01-19 00:08:00,UPI,Success,
35,2024-03-16,35,2024-03-16 00:06:00,UPI,Success,
36,2024-02-21,36,2024-02-21 00:04:00,Debit Card,Success,
37,2024-06-23,37,2024-06-23 00:06:00,Debit Card,Success,
38,2024-04-29,38,2024-04-29 00:04:00,UPI,Success,
39,2024-06-06,39,2024-06-06 00:01:00,UPI,Success,
