order_id,promised_time_min,actual_time_min,sla_breached,ops_issue
1,30,22,False,
2,30,36,True,System Delay
3,30,12,False,
4,30,39,True,Rider Shortage
5,30,25,False,
6,30,24,False,
7,30,28,False,
8,30,16,False,
9,30,38,True,Rider Shortage
10,30,21,False,
11,30,30,False,
12,30,29,False,
13,30,28,False,
14,30,23,False,
15,30,28,False,
16,30,27,False,
17,30,17,False,
18,30,14,False,
19,30,43,True,Rider Shortage
20,30,26,False,
21,30,25,False,
22,30,35,True,Inventory Issue
23,30,30,False,
24,30,40,True,Rider Shortage
25,30,23,False,
26,30,36,True,Inventory Issue
27,30,35,True,System Delay
28,30,28,False,
29,30,31,True,System Delay
30,30,21,False,
31,30,31,True,System Delay
32,30,34,True,Inventory Issue
33,30,27,False,
34,30,30,False,
35,30,24,False,
36,30,24,False,
37,30,18,False,
38,30,42,True,System Delay
39,30,28,False,
40,30,18,False,
41,30,38,True,System Delay
42,30,27,False,
43,30,26,False,
44,30,17,False,
45,30,27,False,
46,30,25,False,
47,30,44,True,Rider Shortage
48,30,23,False,
49,30,33,True,System Delay
50,30,26,False,
51,30,28,False,
52,30,37,True,Rider Shortage
53,30,24,False,
54,30,24,False,
55,30,31,True,Inventory Issue
56,30,29,False,
57,30,40,True,System Delay
58,30,22,False,
59,30,39,True,Inventory Issue
60,30,35,True,Rider Shortage
61,30,38,True,Inventory Issue
62,30,32,True,Rider Shortage
63,30,21,False,
64,30,24,False,
65,30,15,False,
66,30,20,False,
67,30,26,False,
68,30,27,False,
69,30,16,False,
70,30,31,True,System Delay
71,30,20,False,
72,30,10,False,
73,30,36,True,Inventory Issue
74,30,24,False,
75,30,28,False,
76,30,34,True,Inventory Issue
77,30,27,False,
78,30,26,False,
79,30,29,False,
80,30,26,False,
81,30,35,True,Rider Shortage
82,30,37,True,System Delay
83,30,21,False,
84,30,26,False,
85,30,21,False,
86,30,27,False,
87,30,24,False,
88,30,35,True,System Delay
89,30,4,False,
90,30,44,True,Rider Shortage
91,30,28,False,
92,30,30,False,
93,30,32,True,System Delay
94,30,21,False,
95,30,32,True,Inventory Issue
96,30,35,True,Rider Shortage
97,30,18,False,
98,30,24,False,
99,30,29,False,
100,30,12,False,
101,30,22,False,
102,30,33,True,System Delay
103,30,26,False,
104,30,37,True,System Delay
105,30,34,True,System Delay
106,30,17,False,
107,30,20,False,
108,30,18,False,
109,30,32,True,Inventory Issue
110,30,7,False,
111,30,15,False,
112,30,38,True,Inventory Issue
113,30,23,False,
114,30,22,False,
115,30,25,False,
116,30,19,False,
117,30,32,True,Inventory Issue
118,30,27,False,
119,30,39,True,System Delay
120,30,14,False,
121,30,25,False,
122,30,24,False,
123,30,35,True,System Delay
124,30,37,True,Inventory Issue
125,30,39,True,Rider Shortage
126,30,30,False,
127,30,17,False,
128,30,38,True,Rider Shortage
129,30,45,True,Rider Shortage
130,30,23,False,
131,30,42,True,System Delay
132,30,30,False,
133,30,33,True,Inventory Issue
134,30,20,False,
135,30,28,False,
136,30,29,False,
137,30,23,False,
138,30,35,True,Inventory Issue
139,30,15,False,
140,30,35,True,Inventory Issue
141,30,27,False,
142,30,25,False,
143,30,24,False,
144,30,28,False,
145,30,20,False,
146,30,32,True,Inventory Issue
147,30,12,False,
148,30,19,False,
149,30,22,False,
150,30,35,True,Inventory Issue
151,30,26,False,
152,30,33,True,System Delay
153,30,20,False,
154,30,31,True,System Delay
155,30,46,True,Inventory Issue
156,30,32,True,System Delay
157,30,27,False,
158,30,11,False,
159,30,9,False,
160,30,27,False,
161,30,48,True,Rider Shortage
162,30,47,True,Inventory Issue
163,30,32,True,Rider Shortage
164,30,33,True,System Delay
165,30,29,False,
166,30,36,True,Inventory Issue
167,30,24,False,
168,30,23,False,
169,30,35,True,System Delay
170,30,12,False,
171,30,42,True,Rider Shortage
172,30,39,True,System Delay
173,30,39,True,System Delay
174,30,12,False,
175,30,25,False,
176,30,28,False,
177,30,26,False,
178,30,34,True,Rider Shortage
179,30,14,False,
180,30,24,False,
181,30,44,True,System Delay
182,30,21,False,
183,30,33,True,Rider Shortage
184,30,31,True,System Delay
185,30,15,False,
186,30,29,False,
187,30,29,False,
188,30,41,True,System Delay
189,30,24,False,
190,30,37,True,Inventory Issue
191,30,22,False,
192,30,31,True,Inventory Issue
193,30,39,True,Inventory Issue
194,30,16,False,
195,30,29,False,
196,30,38,True,System Delay
197,30,31,True,System Delay
198,30,30,False,
199,30,29,False,
200,30,41,True,Rider Shortage
201,30,23,False,
202,30,1,False,
203,30,22,False,
204,30,17,False,
205,30,28,False,
206,30,33,True,System Delay
207,30,26,False,
208,30,27,False,
209,30,17,False,
210,30,33,True,System Delay
211,30,24,False,
212,30,35,True,Inventory Issue
213,30,38,True,Inventory Issue
214,30,28,False,
215,30,47,True,System Delay
216,30,14,False,
217,30,23,False,
218,30,32,True,System Delay
219,30,25,False,
220,30,21,False,
221,30,21,False,
222,30,38,True,Inventory Issue
223,30,29,False,
224,30,17,False,
225,30,23,False,
226,30,8,False,
227,30,19,False,
228,30,17,False,
229,30,22,False,
230,30,25,False,
231,30,22,False,
232,30,29,False,
233,30,29,False,
234,30,23,False,
235,30,34,True,Inventory Issue
236,30,35,True,Inventory Issue
237,30,26,False,
238,30,41,True,Rider Shortage
239,30,34,True,Rider Shortage
240,30,27,False,
241,30,22,False,
242,30,32,True,Inventory Issue
243,30,21,False,
244,30,17,False,
245,30,35,True,System Delay
246,30,20,False,
247,30,33,True,System Delay
248,30,26,False,
249,30,31,True,Rider Shortage
250,30,27,False,
251,30,33,True,Inventory Issue
252,30,21,False,
253,30,31,True,System Delay
254,30,27,False,
255,30,25,False,
256,30,24,False,
257,30,31,True,Rider Shortage
258,30,41,True,System Delay
259,30,12,False,
260,30,35,True,Inventory Issue
261,30,18,False,
262,30,36,True,Inventory Issue
263,30,40,True,Inventory Issue
264,30,36,True,System Delay
265,30,35,True,Inventory Issue
266,30,25,False,
267,30,35,True,Rider Shortage
268,30,18,False,
269,30,29,False,
270,30,15,False,
271,30,36,True,System Delay
272,30,40,True,Inventory Issue
273,30,33,True,System Delay
274,30,24,False,
275,30,32,True,Inventory Issue
276,30,27,False,
277,30,41,True,System Delay
278,30,24,False,
279,30,29,False,
280,30,31,True,System Delay
281,30,31,True,System Delay
282,30,38,True,Rider Shortage
283,30,34,True,Inventory Issue
284,30,30,False,
285,30,19,False,
286,30,22,False,
287,30,10,False,
288,30,31,True,Rider Shortage
289,30,26,False,
290,30,21,False,
291,30,31,True,Rider Shortage
292,30,24,False,
293,30,26,False,
294,30,29,False,
295,30,25,False,
296,30,30,False,
297,30,21,False,
298,30,23,False,
299,30,22,False,
300,30,32,True,Rider Shortage
301,30,24,False,
302,30,32,True,Inventory Issue
303,30,29,False,
304,30,20,False,
305,30,37,True,Rider Shortage
306,30,24,False,
307,30,25,False,
308,30,38,True,Rider Shortage
309,30,27,False,
310,30,49,True,Inventory Issue
311,30,34,True,Inventory Issue
312,30,37,True,Inventory Issue
313,30,24,False,
314,30,38,True,Rider Shortage
315,30,31,True,Rider Shortage
316,30,24,False,
317,30,24,False,
318,30,27,False,
319,30,28,False,
320,30,40,True,System Delay
321,30,31,True,System Delay
322,30,39,True,System Delay
323,30,33,True,Inventory Issue
324,30,31,True,Rider Shortage
325,30,37,True,System Delay
326,30,22,False,
327,30,18,False,
328,30,22,False,
329,30,38,True,System Delay
330,30,17,False,
331,30,23,False,
332,30,28,False,
333,30,23,False,
334,30,23,False,
335,30,27,False,
336,30,36,True,System Delay
337,30,34,True,Rider Shortage
338,30,17,False,
339,30,27,False,
340,30,32,True,System Delay
341,30,32,True,System Delay
342,30,38,True,System Delay
343,30,16,False,
344,30,36,True,Rider Shortage
345,30,22,False,
346,30,28,False,
347,30,32,True,Rider Shortage
348,30,20,False,
349,30,38,True,Rider Shortage
350,30,30,False,
351,30,33,True,Rider Shortage
352,30,22,False,
353,30,34,True,Inventory Issue
354,30,40,True,System Delay
355,30,24,False,
356,30,27,False,
357,30,27,False,
358,30,37,True,System Delay
359,30,36,True,Inventory Issue
360,30,26,False,
361,30,17,False,
362,30,22,False,
363,30,12,False,
364,30,47,True,Inventory Issue
365,30,33,True,Rider Shortage
366,30,24,False,
367,30,24,False,
368,30,34,True,Rider Shortage
369,30,31,True,System Delay
370,30,16,False,
371,30,23,False,
372,30,30,False,
373,30,24,False,
374,30,19,False,
375,30,28,False,
376,30,16,False,
377,30,36,True,Rider Shortage
378,30,26,False,
379,30,29,False,
380,30,22,False,
381,30,34,True,Rider Shortage
382,30,32,True,Rider Shortage
383,30,21,False,
384,30,23,False,
385,30,29,False,
386,30,13,False,
387,30,17,False,
388,30,33,True,System Delay
389,30,15,False,
390,30,32,True,System Delay
391,30,31,True,System Delay
392,30,21,False,
393,30,36,True,Rider Shortage
394,30,19,False,
395,30,20,False,
396,30,34,True,System Delay
397,30,36,True,System Delay
398,30,12,False,
399,30,45,True,System Delay
400,30,30,False,
401,30,31,True,Inventory Issue
402,30,37,True,System Delay
403,30,13,False,
404,30,32,True,Rider Shortage
405,30,26,False,
406,30,34,True,Rider Shortage
407,30,37,True,System Delay
408,30,34,True,Inventory Issue
409,30,35,True,System Delay
410,30,16,False,
411,30,22,False,
412,30,34,True,Rider Shortage
413,30,17,False,
414,30,37,True,System Delay
415,30,30,False,
416,30,36,True,Rider Shortage
417,30,30,False,
418,30,31,True,Inventory Issue
419,30,23,False,
420,30,23,False,
421,30,41,True,System Delay
422,30,26,False,
423,30,34,True,System Delay
424,30,37,True,Inventory Issue
425,30,25,False,
426,30,35,True,System Delay
427,30,31,True,System Delay
428,30,23,False,
429,30,26,False,
430,30,17,False,
431,30,21,False,
432,30,30,False,
433,30,28,False,
434,30,22,False,
435,30,18,False,
436,30,33,True,System Delay
437,30,10,False,
438,30,27,False,
439,30,22,False,
440,30,23,False,
441,30,8,False,
442,30,39,True,Rider Shortage
443,30,28,False,
444,30,20,False,
445,30,30,False,
446,30,33,True,Rider Shortage
447,30,30,False,
448,30,39,True,System Delay
449,30,39,True,System Delay
450,30,20,False,
451,30,26,False,
452,30,24,False,
453,30,26,False,
454,30,15,False,
455,30,27,False,
456,30,21,False,
457,30,31,True,System Delay
458,30,23,False,
459,30,19,False,
460,30,26,False,
461,30,28,False,
462,30,15,False,
463,30,20,False,
464,30,31,True,Inventory Issue
465,30,40,True,Inventory Issue
466,30,34,True,Rider Shortage
467,30,22,False,
468,30,19,False,
469,30,23,False,
470,30,21,False,
471,30,27,False,
472,30,39,True,Inventory Issue
473,30,23,False,
474,30,18,False,
475,30,22,False,
476,30,27,False,
477,30,26,False,
478,30,25,False,
479,30,18,False,
480,30,25,False,
481,30,27,False,
482,30,26,False,
483,30,39,True,Rider Shortage
484,30,22,False,
485,30,31,True,Inventory Issue
486,30,26,False,
487,30,37,True,Inventory Issue
488,30,34,True,Rider Shortage
489,30,19,False,
490,30,11,False,
491,30,37,True,System Delay
492,30,19,False,
493,30,27,False,
494,30,43,True,System Delay
495,30,11,False,
496,30,28,False,
497,30,31,True,System Delay
498,30,14,False,
499,30,10,False,
500,30,24,False,
501,30,30,False,
502,30,42,True,Rider Shortage
503,30,15,False,
504,30,36,True,Inventory Issue
505,30,34,True,Inventory Issue
506,30,35,True,Inventory Issue
507,30,24,False,
508,30,22,False,
509,30,36,True,Inventory Issue
510,30,20,False,
511,30,23,False,
512,30,19,False,
513,30,25,False,
514,30,12,False,
515,30,21,False,
516,30,28,False,
517,30,20,False,
518,30,22,False,
519,30,34,True,Inventory Issue
520,30,21,False,
521,30,19,False,
522,30,39,True,Inventory Issue
523,30,39,True,Inventory Issue
524,30,36,True,Inventory Issue
525,30,34,True,System Delay
526,30,39,True,Rider Shortage
527,30,28,False,
528,30,27,False,
529,30,20,False,
530,30,35,True,Inventory Issue
531,30,25,False,
532,30,32,True,Rider Shortage
533,30,14,False,
534,30,50,True,System Delay
535,30,18,False,
536,30,15,False,
537,30,25,False,
538,30,22,False,
539,30,34,True,System Delay
540,30,24,False,
541,30,26,False,
542,30,28,False,
543,30,34,True,Inventory Issue
544,30,25,False,
545,30,21,False,
546,30,36,True,Inventory Issue
547,30,29,False,
548,30,22,False,
549,30,33,True,System Delay
550,30,25,False,
551,30,23,False,
552,30,18,False,
553,30,28,False,
554,30,34,True,Rider Shortage
555,30,28,False,
556,30,31,True,System Delay
557,30,35,True,Rider Shortage
558,30,28,False,
559,30,28,False,
560,30,29,False,
561,30,35,True,Rider Shortage
562,30,22,False,
563,30,27,False,
564,30,23,False,
565,30,39,True,Inventory Issue
566,30,35,True,Rider Shortage
567,30,31,True,Inventory Issue
568,30,18,False,
569,30,21,False,
570,30,19,False,
571,30,27,False,
572,30,21,False,
573,30,35,True,System Delay
574,30,36,True,Inventory Issue
575,30,35,True,Inventory Issue
576,30,9,False,
577,30,23,False,
578,30,26,False,
579,30,30,False,
580,30,21,False,
581,30,15,False,
582,30,45,True,Rider Shortage
583,30,22,False,
584,30,23,False,
585,30,31,True,System Delay
586,30,23,False,
587,30,26,False,
588,30,34,True,Rider Shortage
589,30,22,False,
590,30,27,False,
591,30,17,False,
592,30,29,False,
593,30,22,False,
594,30,30,False,
595,30,30,False,
596,30,25,False,
597,30,36,True,Inventory Issue
598,30,37,True,Rider Shortage
599,30,31,True,System Delay
600,30,19,False,
601,30,43,True,System Delay
602,30,28,False,
603,30,32,True,Rider Shortage
604,30,9,False,
605,30,29,False,
606,30,24,False,
607,30,18,False,
608,30,22,False,
609,30,13,False,
610,30,21,False,
611,30,22,False,
612,30,28,False,
613,30,36,True,Inventory Issue
614,30,38,True,Rider Shortage
615,30,40,True,Rider Shortage
616,30,30,False,
617,30,40,True,Inventory Issue
618,30,29,False,
619,30,36,True,System Delay
620,30,21,False,
621,30,27,False,
622,30,18,False,
623,30,15,False,
624,30,25,False,
625,30,37,True,Rider Shortage
626,30,31,True,Inventory Issue
627,30,7,False,
628,30,49,True,Rider Shortage
629,30,31,True,Inventory Issue
630,30,45,True,Rider Shortage
631,30,27,False,
632,30,27,False,
633,30,31,True,Rider Shortage
634,30,37,True,Inventory Issue
635,30,17,False,
636,30,16,False,
637,30,37,True,Rider Shortage
638,30,35,True,Inventory Issue
639,30,33,True,System Delay
640,30,32,True,Rider Shortage
641,30,30,False,
642,30,19,False,
643,30,30,False,
644,30,20,False,
645,30,38,True,System Delay
646,30,16,False,
647,30,21,False,
648,30,38,True,Rider Shortage
649,30,35,True,Rider Shortage
650,30,20,False,
651,30,14,False,
652,30,30,False,
653,30,23,False,
654,30,36,True,Inventory Issue
655,30,32,True,System Delay
656,30,31,True,System Delay
657,30,32,True,Rider Shortage
658,30,32,True,Inventory Issue
659,30,23,False,
660,30,33,True,System Delay
661,30,27,False,
662,30,24,False,
663,30,17,False,
664,30,25,False,
665,30,33,True,System Delay
666,30,30,False,
667,30,28,False,
668,30,37,True,System Delay
669,30,37,True,System Delay
670,30,23,False,
671,30,29,False,
672,30,29,False,
673,30,24,False,
674,30,32,True,Inventory Issue
675,30,24,False,
676,30,22,False,
677,30,28,False,
678,30,25,False,
679,30,29,False,
680,30,39,True,Inventory Issue
681,30,31,True,System Delay
682,30,20,False,
683,30,42,True,System Delay
684,30,26,False,
685,30,18,False,
686,30,22,False,
687,30,19,False,
688,30,25,False,
689,30,23,False,
690,30,31,True,System Delay
691,30,15,False,
692,30,37,True,Rider Shortage
693,30,16,False,
694,30,25,False,
695,30,40,True,Inventory Issue
696,30,19,False,
697,30,36,True,System Delay
698,30,32,True,Inventory Issue
699,30,17,False,
700,30,42,True,Rider Shortage
701,30,29,False,
702,30,12,False,
703,30,21,False,
704,30,28,False,
705,30,34,True,Rider Shortage
706,30,36,True,Inventory Issue
707,30,26,False,
708,30,8,False,
709,30,27,False,
710,30,29,False,
711,30,23,False,
